Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабʼюк,Симон,Климентович,Чоловіча,23-04-1978,Ріелтор,селище Покровськ,"шосе Академіка Вавилова, буд. 655 кв. 272, Федорівка, 94091",+380 99 934-50-66,simashkevychdanna@example.org
Ейбоженко,Герман,Павлович,Чоловіча,17-06-1988,Кухар,місто Єнакієве,"проспект Пісочна, буд. 786, Голубівка, 35286",+380 54 124 15 20,hprytula@example.org
Чала,Орхип,Стефанович,Чоловіча,05-06-2002,Патологоанатом,селище Кодима,"шосе Український 3-й, буд. 28 кв. 905, Херсон, 97176",+380 56 073-21-57,bohdan69@example.com
Ващенко,Леонтій,Павлович,Чоловіча,30-01-1942,Хореограф,місто Іршава,"парк Локомотивний 4-й, буд. 7 кв. 60, Зоринськ, 63650",025 779-36-70,qmasliak@example.net
Тягнибок,Ярема,Алевтинович,Чоловіча,13-06-1945,Клавішник,місто Ходорів,"узвіз Хаджибейський 1-й, буд. 5, Брянка, 33066",648 04 92,alevtynmalyshko@example.net
Шутько,Євген,Симонович,Чоловіча,10-09-1978,Візажист,селище Кролевець,"сквер Вишнева, буд. 9 кв. 095, Федорівка, 62994",+380 56 605-08-60,vertyporokhleopold@example.com
Фоменко,Азар,Костянтинович,Чоловіча,22-04-1972,Державний службовець,хутір Верхівцеве,"площа Олександра Вронського, буд. 0, Южне, 50833",+380 81 110-61-27,tykhanataliia@example.net
Пушкар,Євген,Мартинович,Чоловіча,06-12-1938,Сантехнік,селище Армянськ,"провулок Лінійна, буд. 83 кв. 6, Прилуки, 67698",678 46 21,ravramchuk@example.com
Уманець,Болеслав,Альбертович,Чоловіча,05-01-1961,Мікробіолог,місто Кремінна,"вулиця Травневий 3-й, буд. 2 кв. 9, Остер , 14887",882-00-79,ymatviienko@example.org
Жаліло,Богуслав,Євгенійович,Чоловіча,15-04-2003,Стиліст,село Боярка,"парк Садова 2-га, буд. 341, Краматорськ, 45103",+380 84 440-97-65,rozaliiaasaula@example.com
Лазаренко,Феофан,Хомович,Чоловіча,03-08-1991,Головний меркшейдер,селище Новий Калинів,"набережна Тульська, буд. 3, Суходільськ, 81185",000 433 43 86,liudmylatsisyk@example.com
Єрмоленко,Левко,Борисович,Чоловіча,27-09-1953,Педагог,селище Городня,"вулиця Василя Кандинського 2-й, буд. 01, Павлоград, 95500",014 018-37-44,leontii15@example.net
Жученко,Арсен,Остапович,Чоловіча,16-07-1987,Підприємець,селище Алчевськ,"набережна Чумацька, буд. 68 кв. 3, Харцизьк, 04317",+380 (19) 623-34-86,qneporozhnii@example.com
Притула,Павло,Назарович,Чоловіча,07-10-1972,Мистецтвознавець,місто Новомосковськ,"провулок Зелена балка, буд. 403 кв. 3, Луцьк, 31992",+380 66 085 37 86,hannaromanchuk@example.com
Фартушняк,Гліб,Олексович,Чоловіча,21-12-1960,Дантист,село Макіївка,"узвіз Толбухіна, буд. 65 кв. 4, Часів Яр, 79481",+380 40 053 77 77,larysa80@example.com
Сагаль,Веніямин,Іванович,Чоловіча,10-05-1989,Біолог,село Сокиряни,"проспект Азербайджан, буд. 8, Мостиська, 61153",085 176-51-49,oksana15@example.com
Влох,Семен,Демидович,Чоловіча,25-08-2008,Конструктор,село Маріуполь,"вулиця Флотський 3-й, буд. 014, Брянка, 84694",045 838-90-61,sofiiaudovenko@example.org
Гаврилець,Аврелій,Назарович,Чоловіча,24-08-1961,Будник,селище Перещепине,"вулиця Прокатна, буд. 5 кв. 1, Бердянськ, 69295",+380 24 216-78-56,romanchukfrants@example.com
Їжакевич,Орхип,Панасович,Чоловіча,18-01-1978,Архітектор,селище Полтава,"провулок Лінія 23-тя, буд. 49 кв. 597, Сєвєродонецьк, 56551",+380 91 812 08 00,mykytabaranets@example.net
Сірченко,Трохим,Вікторович,Чоловіча,27-10-1939,Різноробочий,хутір Бурштин ,"вулиця Рибальський, буд. 74 кв. 68, Баранівка, 14979",777 28 76,shukhevychherman@example.net
Єрьоменко,Мирослав,Віталійович,Чоловіча,05-12-1979,Живописець,село Шахтарськ,"провулок Професора Каришковського, буд. 23, Жашків, 38184",001 011-22-96,leopoldievtushenko@example.net
Дзюба,Віталій,Романович,Чоловіча,30-09-1959,Музикант,хутір Вугледар,"шосе Зелена гірка, буд. 758 кв. 34, Південне , 71663",+380 (02) 388-10-70,liubov81@example.org
Засенко,Костянтин,Соломонович,Чоловіча,04-12-1941,Історик,селище Почаїв,"набережна Наливна, буд. 85 кв. 2, Сорокине, 48491",054 612-69-01,makaronyshchenko@example.org
Венгринович,Зиновій,Антонович,Чоловіча,12-07-1999,Фотограф,місто Моршин,"проспект Сільськогосподарський, буд. 6 кв. 9, Сніжне, 16716",+380 99 684-20-19,romanshtokalo@example.org
Андрусенко,Максим,Григорійович,Чоловіча,30-04-2008,Дантист,село Золочів,"вулиця Лідерсівський, буд. 7, Устилуг, 56297",+380 57 823 73 54,panteleimon13@example.com
Гузь,Ігор,Ярославович,Чоловіча,20-01-1949,Філолог,село Дергачі,"узвіз Просвіти, буд. 98, Мирноград, 45034",+380 (01) 366-88-78,marko95@example.org
Лавренко,Симон,Веніяминович,Чоловіча,16-02-2003,Скульптор,село Помічна,"вулиця Центральна, буд. 1 кв. 39, Одеса, 34883",822 09 14,valentyna84@example.net
Дубина,Тимофій,Леонтійович,Чоловіча,03-08-1970,Архітектор,місто Баштанка,"проспект Аеропортівський 2-й, буд. 6, Белз, 65518",+380 22 180-62-22,kostiantyn06@example.org
Луценко,Орхип,Симонович,Чоловіча,09-01-2005,Драматург,селище Люботин,"набережна Академіка Вільямса, буд. 99 кв. 70, Кролевець, 57087",941-58-05,mykhailo69@example.net
Андрейко,Павло,Ааронович,Чоловіча,24-11-1997,Прокурор,місто Куп'янськ,"площа Кристаловського, буд. 84, Старобільськ, 09033",031 957 49 54,vermenychtrokhym@example.com
Перебийніс,Святослав,Павлович,Чоловіча,25-05-1965,Каскадер,хутір Вилкове,"площа Отрадна, буд. 1, Верхньодніпровськ, 55971",+380 (00) 787-87-96,bhydenkomykolai@example.org
Луценко,Демʼян,Богуславович,Чоловіча,28-05-1981,Круп'є,хутір Берислав,"вулиця Бабеля, буд. 763, Заводське, 43186",+380 (98) 609-93-07,artembaklan@example.com
Жук,Нестор,Святославович,Чоловіча,08-05-1976,Євнух,селище Торецьк,"сквер Педагогічна, буд. 237, Зборів, 87208",+380 53 534 17 45,usyksymon@example.com
Кириленко,Валерій,Прохорович,Чоловіча,16-05-1991,Кіноактор,хутір Долина ,"узвіз Колонтаївська, буд. 560 кв. 4, Українка , 88537",+380 18 839-48-47,zorianromanchuk@example.org
Яремків,Болеслав,Єлисейович,Чоловіча,30-04-1970,Клоун,місто Корсунь-Шевченківський,"узвіз Заводська, буд. 16, Географія Вільнянська, 11664",853 81 35,jbabenko@example.com
Охримович,Азар,Альбертович,Чоловіча,22-02-1970,Бухгалтер,селище Луганськ,"провулок Василя Стуса, буд. 083 кв. 9, Деражня, 91142",074 869 90 76,qdurdynets@example.com
Мазепа,Августин,Пилипович,Чоловіча,08-01-1980,Палеонтолог,село Шпола,"проспект Уральський, буд. 7 кв. 63, Устилуг, 55351",+380 95 681 72 90,varfolomii87@example.com
Акуленко,Георгій,Семенович,Чоловіча,12-10-1960,Кінокритик,селище Решетилівка,"сквер Тупиковий 2-й, буд. 0, Кременець, 54869",+380 (12) 061-89-98,adashvachko@example.com
Гайденко,Гордій,Максимович,Чоловіча,26-01-1987,Секретар,селище Вишгород,"парк Каркашадзе, буд. 46, Біляївка, 41983",+380 (34) 003-47-76,avrelii67@example.com
Даниленко,Антон,Кирилович,Чоловіча,07-02-1967,Дизайнер,селище Синельникове,"сквер Академіка Богатського, буд. 276 кв. 95, Жмеринка, 94632",+380 19 634-78-25,ievhenasaula@example.com
Носенко,Леон,Романович,Чоловіча,23-09-1954,Етнограф,село Жашків,"проспект Пушкінська, буд. 70 кв. 275, Куп'янськ, 54030",823 53 13,semenusyk@example.net
Ященко,Валентин,Георгійович,Чоловіча,05-11-1955,Педагог,хутір Українка ,"набережна Перлинна, буд. 710 кв. 756, Старий Самбір, 41718",152-45-94,nazar38@example.com
Алексюк,Аарон,Леонідович,Чоловіча,12-09-1990,Програміст,селище Одеса,"провулок Аеродромний 1-й, буд. 493, Тернівка , 80429",988 49 79,halyna22@example.net
Авраменко,Пармен,Леонідович,Чоловіча,03-11-1965,Фотограф,місто Одеса,"набережна Травневий 3-й, буд. 82 кв. 60, Саки , 80681",094 581 13 39,anitadankevych@example.com
Баштан,Ігор,Григорійович,Чоловіча,05-05-1979,Кур'єр,село Мирноград,"шосе Садова 4-та, буд. 8 кв. 193, Ужгород, 76365",249-93-71,htelychenko@example.net
Назаренко,Спас,Григорійович,Чоловіча,04-04-2008,Дизайнер,село Армянськ,"узвіз Черепанових, буд. 822 кв. 74, Знам'янка, 76793",+380 73 971-97-13,okseniianalyvaiko@example.com
Фартушняк,Леон,Арсенович,Чоловіча,21-03-2005,Електротехнік,село Камінь-Каширський,"парк Сєченова, буд. 9 кв. 16, Кам'янець-Подільський, 56740",437 39 26,liashkoielysei@example.com
Цимбал,Вʼячеслав,Давидович,Чоловіча,20-05-1955,Астрофізик,село Сніжне,"провулок Вєтрова, буд. 04, Тетіїв, 80171",327-89-19,oles75@example.net
Жученко,Святослав,Степанович,Чоловіча,16-12-1977,Сценарист,місто Тячів,"площа Єврейська, буд. 47 кв. 973, Ужгород, 55718",+380 76 296-66-10,vdanko@example.org
Дубина,Роман,Михайлович,Чоловіча,30-06-2008,Паралегал,село Апостолове,"шосе Стамбульський, буд. 996, Коломия, 76405",+380 34 883-80-42,vitaliipetliura@example.com
Дубенко,Семен,Петрович,Чоловіча,19-08-1954,Хореограф,селище Буськ,"площа Лінія 47-ма, буд. 39, Болград, 69061",+380 68 635 22 51,zmishchenko@example.net
Петлюра,Антон,Юхимович,Чоловіча,13-12-1956,Конструктор,селище Золочів,"провулок Офіцерський 1-й, буд. 206, Павлоград, 47127",+380 96 063 34 71,varfolomii75@example.net
Архимович,Семен,Максимович,Чоловіча,19-11-1953,Мінералог,село Феодосія,"набережна Пастера, буд. 206, Богуслав, 60687",030 805-81-82,glubenets@example.net
Рудько,Леопольд,Едуардович,Чоловіча,29-11-1964,Медик,хутір Білопілля,"шосе Ушинського, буд. 98, Радехів, 64920",+380 44 962-18-64,tkharchenko@example.com
Скирда,Миколай,Борисович,Чоловіча,28-10-1978,Електромонтажник,село Саки ,"проспект 14-та ст. Великого Фонтану пляж, буд. 79 кв. 242, Дніпрорудне, 22115",819 09 77,okhrim67@example.net
Бгиденко,Вʼячеслав,Дмитрович,Чоловіча,02-12-1975,Біолог,селище Голубівка,"вулиця Косяченка Олексія, буд. 55 кв. 62, Березне, 34251",075 307-38-93,hryhoriichubai@example.com
Гаврилишина,Аарон,Зорянович,Чоловіча,21-07-1999,Електромонтажник,село Боково-Хрустальне,"площа Лінія 37-ма, буд. 51, Вашківці, 56004",+380 97 811 92 91,roksolana92@example.com
Ільченко,Артем,Єфремович,Чоловіча,28-07-1945,Ботанік,місто Щолкіне,"площа Красива, буд. 11, Одеса, 37482",824 79 86,klymentieremenko@example.com
Яремчук,Валерій,Олегович,Чоловіча,02-11-1957,Шериф,селище Кипуче,"парк Канатний, буд. 2, Антрацит , 03917",+380 88 932-64-58,venedykt62@example.com
Дрозд,Венедикт,Святославович,Чоловіча,24-06-1988,Хімік,місто Бібрка,"сквер Флотський 4-й, буд. 8, Перечин, 54382",314-56-17,ielysei09@example.org
Вергун,Марко,Ігнатович,Чоловіча,08-09-1986,Електромонтажник,місто Генічеськ,"проспект Республіканська, буд. 7, Іловайськ, 62313",083 503 68 01,arkadii50@example.com
Бараник,Павло,Азарович,Чоловіча,16-10-1992,Складальник,місто Полтава,"проспект Варненська, буд. 2, Гірник , 68194",+380 (58) 405-91-85,bivashchenko@example.com
Талан,Павло,Юхимович,Чоловіча,25-10-1999,Випробувач,хутір Жашків,"провулок Аполона Скальковського, буд. 60, Здолбунів, 87218",+380 63 726 43 77,larysaostapchuk@example.com
Удовиченко,Спас,Юхимович,Чоловіча,04-12-1968,Професор,хутір Бахмач,"шосе Кільцева, буд. 015 кв. 6, Моспине, 88630",041 80 27,fdeineko@example.com
Жученко,Павло,Охрімович,Чоловіча,20-08-1978,Мовознавець,хутір Іловайськ,"вулиця Недєліна, буд. 51 кв. 3, Моспине, 85471",+380 54 268-33-34,korbutkostiantyn@example.org
Лазаренко,Олег,Богодарович,Чоловіча,12-04-1965,Кінокритик,хутір Конотоп,"узвіз Донцова Дмитра, буд. 9, Новий Розділ, 73839",038 090-88-17,zmykytiuk@example.org
Василашко,Яків,Миколайович,Чоловіча,17-10-1958,Мистецтвознавець,селище Глиняни,"сквер 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 5 кв. 4, Дергачі, 61075",+380 69 231-61-41,babiakklavdiia@example.org
Яремчук,Теодор,Максимович,Чоловіча,21-07-1954,Історик,місто Благовіщенське,"проспект Романтичний, буд. 391 кв. 22, Сторожинець, 31537",+380 07 629-37-95,andriievychvolodymyr@example.com
Євтушенко,Василь,Остапович,Чоловіча,23-05-1981,Електромонтажник,хутір Чигирин,"шосе Воронезька, буд. 55, Бердянськ, 60394",+380 (05) 710-10-21,leonhaievskyi@example.org
Ярош,Климент,Богуславович,Чоловіча,31-07-2007,Драматург,село Березань ,"парк Пугачова, буд. 329 кв. 77, Феодосія, 77985",099 436 75 67,jhupalo@example.com
Дараган,Хома,Миронович,Чоловіча,05-12-1957,Модельєр,хутір Збараж,"провулок Об'їзна дорога, буд. 55 кв. 995, Камінь-Каширський, 01386",+380 18 275-28-52,iustyna36@example.com
Давимука,Вʼячеслав,Миронович,Чоловіча,29-04-1984,Стоматолог,село Ужгород,"площа Іспанська, буд. 480, Ясинувата, 18416",+380 52 817-46-97,kopytkoalevtyn@example.com
Василевич,Мирослав,Костянтинович,Чоловіча,20-01-1973,Модельєр,місто Мелітополь,"площа Соляний 2-й, буд. 4, Старокостянтинів, 98354",787-35-96,myroncherednyk@example.com
Ярош,Нестор,Романович,Чоловіча,28-10-1989,Промисловець,місто Дрогобич,"шосе Наявний 3-й, буд. 439 кв. 68, Володимир-Волинський, 42694",+380 02 573 86 83,vadymvatamaniuk@example.net
Безбородько,Остап,Святославович,Чоловіча,29-11-1972,Сантехнік,селище Каховка,"узвіз Лесі Українки, буд. 2 кв. 553, Щолкіне, 77169",239-94-12,ftovstolis@example.net
Михайлюк,Мирослав,Хомович,Чоловіча,22-11-1946,Сценарист,хутір Харків,"площа Висока, буд. 9 кв. 86, Глобине, 53041",+380 87 756-44-13,iurchukamvrosii@example.net
Ніколюк,Опанас,Тимофійович,Чоловіча,14-11-1976,Мистецтвознавець,село Острог,"провулок Зелена, буд. 42 кв. 6, Носівка, 59933",+380 20 790 82 92,orestzabashta@example.com
Салій,Гліб,Хомович,Чоловіча,11-11-1988,Епідеміолог,місто Ворожба,"сквер Металістів, буд. 9 кв. 6, Сторожинець, 14770",068 01 12,velychkoemiliia@example.com
Шутько,Нестор,Миколайович,Чоловіча,23-10-2001,Медик,місто Рогатин,"узвіз Левкоєва, буд. 2, Коломия, 62856",088 915 99 79,artemenkoliubov@example.net
Базавлученко,Хома,Устимович,Чоловіча,02-08-1962,Епідеміолог,село Надвірна,"площа Шилова, буд. 7, Хрестівка, 43751",115-45-52,yarsenych@example.org
Салій,Іван,Болеславович,Чоловіча,15-12-1978,Слідчий,місто Самбір,"провулок Ашгабатська, буд. 51 кв. 648, Дніпрорудне, 70157",060 904 28 63,ivanavramenko@example.org
Гавриш,Святослав,Варфоломійович,Чоловіча,06-03-1981,Маркетолог,місто Корець,"сквер Герцена, буд. 940, Нове Давидково, 53651",139-05-28,vasylynashtokalo@example.net
Теліженко,Сергій,Назарович,Чоловіча,06-02-2001,Журналіст,хутір Коростишів,"узвіз Красносільська, буд. 25 кв. 654, Красноград, 07423",062 948 21 00,jsvystun@example.com
Свистун,Варфоломій,Євгенійович,Чоловіча,16-05-1955,Фермер,село Підгайці,"сквер Гагаріна, буд. 71 кв. 6, Щастя , 41469",+380 86 651-98-53,vakhniiiosyp@example.org
Ейбоженко,Венедикт,Лукʼянович,Чоловіча,21-11-1941,Мірошник,село Берислав,"сквер Маловського, буд. 1 кв. 7, Южноукраїнськ, 67197",012 495-15-91,avramchukliudmyla@example.net
Саєнко,Єлисей,Романович,Чоловіча,05-07-1939,Сценарист,селище Новоселиця,"парк Стахановський 4-й, буд. 6 кв. 10, Івано-Франківськ, 09488",+380 26 362-41-58,hanna94@example.com
Остапчук,Охрім,Вікторович,Чоловіча,17-11-1946,Фармацевт,селище Бориспіль,"провулок Пiвденний, буд. 4 кв. 0, Хорол , 59746",+380 09 920-70-45,chernenkoada@example.com
Дзюба,Антон,Аврелійович,Чоловіча,17-05-1969,Дерун,хутір Сокаль,"провулок Виноградна 2-га, буд. 81 кв. 806, Нове Давидково, 17121",034 395 46 28,havrylobevz@example.com
Шаповал,Данило,Тарасович,Чоловіча,01-08-1971,Дантист,хутір Кам'янське,"узвіз Дюківська, буд. 28, Львів, 76825",093 786 12 39,zorianbabiuk@example.net
Дутка,Марко,Остапович,Чоловіча,29-03-1978,Головний меркшейдер,хутір Марганець ,"узвіз 9-та Суворовська, буд. 66, Конотоп, 40536",+380 25 535-32-83,halyna37@example.com
Єрошенко,Левко,Миронович,Чоловіча,18-12-1953,Педагог,селище Козятин,"сквер Лінія 26-та, буд. 1 кв. 9, Корсунь-Шевченківський, 43851",123-28-14,poltavetserika@example.org
Перебийніс,Панас,Миколайович,Чоловіча,26-06-1955,Геофізик,селище Новий Розділ,"шосе Локомотивний 1-й, буд. 836, Мелітополь, 95297",+380 (84) 377-24-02,iaroshmykhailyna@example.net
Андрусенко,Леон,Миколайович,Чоловіча,22-07-1942,Астронавт,місто Бахмач,"вулиця Лінія 43-тя, буд. 4, Іловайськ, 30635",+380 82 145-59-63,wromanenko@example.net
Штокало,Опанас,Прохорович,Чоловіча,02-02-1987,Бібліотекар,хутір Світловодськ,"провулок Дукова, буд. 5, Сіверськ, 17055",+380 79 697-95-78,vivcharenkoirena@example.net
Малишко,Семен,Валерійович,Чоловіча,18-04-1973,Флорист,село Попасна,"шосе Травневий 3-й, буд. 19, Ківерці, 96042",+380 (68) 288-74-58,iefrem18@example.com
Вахній,Олег,Олесьович,Чоловіча,11-01-1956,Будник,селище Алупка,"шосе Книжковий, буд. 04, Тростянець, 36918",+380 39 981 62 71,ravdieienko@example.com
Гаврюшенко,Трохим,Євгенійович,Чоловіча,11-03-1949,Парфюмер,селище Заліщики,"вулиця Тепличний 2-й, буд. 9, Чугуїв, 17731",+380 69 209-29-69,ghrechanyk@example.com
Жук,Федір,Ааронович,Чоловіча,16-06-1974,Швачка,місто Бурштин ,"вулиця Сливова, буд. 51, Охтирка, 37062",+380 79 927 89 73,odarka60@example.com
Нестайко,Левко,Захарович,Чоловіча,26-11-1966,Ді-джей,село Тячів,"узвіз Горизонтальна, буд. 89 кв. 45, Красногорівка, 37395",+380 72 593 49 99,hutsuliakalbina@example.org
Лавренко,Кирило,Святославович,Чоловіча,15-02-1989,Музикознавець,місто Полонне,"набережна Андрійця Олега, буд. 838, Глобине, 68255",+380 (96) 470-66-45,stetsviktor@example.net
Дейнеко,Лесь,Сергійович,Чоловіча,26-10-1998,Електромонтер,село Радомишль,"провулок Вишневий, буд. 47 кв. 62, Заліщики, 58069",079 371 17 48,dmytro61@example.net
Запорожець,Климент,Трохимович,Чоловіча,21-08-2002,Соціолог,селище Маріуполь,"шосе Перший Кришталевий, буд. 75 кв. 3, Верхівцеве, 74257",045 968 34 06,nestorkadeniuk@example.net
Єфименко,Степан,Кирилович,Чоловіча,22-08-1981,Режисер,місто Макіївка,"сквер Красна, буд. 73, Куп'янськ, 20367",+380 49 952 20 13,zynovii91@example.org
Артим,Василь,Михайлович,Чоловіча,22-08-1971,Економіст,місто Яворів,"набережна Торгова, буд. 8, Кременчук, 15954",+380 39 027-56-10,hprotsenko@example.com
Затовканюк,Святослав,Андрійович,Чоловіча,23-01-1966,Музикознавець,село Костянтинівка,"сквер Ляпідевського, буд. 45, Долинська, 72590",041 599 43 30,ruslankhrystenko@example.net
Тесля,Орест,Ігорович,Чоловіча,23-03-1949,Графік,місто Тараща,"шосе Листяна, буд. 641, Сокаль, 43763",090 663-98-42,rostyslav95@example.com
Романенко,Теодор,Давидович,Чоловіча,12-10-1963,Художник,місто Дунаївці,"парк Лінія 45-та, буд. 74, Красногорівка, 51547",994-69-21,lizaadamenko@example.org
Чарниш,Аркадій,Миронович,Чоловіча,03-01-1962,Випробувач,місто Щолкіне,"провулок Юннатів 2-й, буд. 3, Броди, 25862",+380 16 055-26-09,mykhailynamamchur@example.net
Килимник,Андрій,Устимович,Чоловіча,04-06-1981,Клоун,село Курахове,"провулок Героїв прикордонників, буд. 512 кв. 5, Южноукраїнськ, 95058",722 45 23,habrahamovskyi@example.org
Луценко,Опанас,Семенович,Чоловіча,28-11-1963,Акушер,село Золотоноша,"набережна Китобійний 2-й, буд. 635, Сквира, 71676",082 704 09 49,dashenkomakar@example.org
Вітрук,Антон,Єфремович,Чоловіча,04-05-1983,Філолог,село Копичинці,"набережна Басейний 6-й, буд. 3 кв. 7, Славутич, 93668",779 63 14,datsenkoliza@example.com
Шиян,Леонтій,Георгійович,Чоловіча,09-09-1948,Письменник,селище Городок,"шосе Центральний аеропорт, буд. 329, Любомль, 34960",+380 (58) 278-57-59,iosyp70@example.com
Демʼянчук,Охрім,Антонович,Чоловіча,05-05-1993,Мікробіолог,хутір Гірське,"проспект Світанку, буд. 375 кв. 5, Благовіщенське, 56025",072 706 98 67,orysia66@example.net
Байрак,Венедикт,Геннадійович,Чоловіча,22-02-2004,Мінералог,селище Жмеринка,"вулиця Клинова, буд. 17, Угнів, 16168",+380 (71) 261-14-56,xdanylchuk@example.org
Іващенко,Лесь,Єлисейович,Чоловіча,04-06-1995,Няня,місто Канів,"узвіз Макова, буд. 09 кв. 41, Синельникове, 94240",+380 74 827-10-41,antonilienko@example.org
Шиян,Адам,Юстимович,Чоловіча,07-07-1946,Клавішник,селище Старий Самбір,"набережна Чорноморський 4-й, буд. 1 кв. 4, Благовіщенське, 03041",+380 10 235 50 05,deisunmykyta@example.com
Гаврилюк,Гліб,Ярославович,Чоловіча,26-01-1994,Футболіст,село Рівне,"узвіз Аптекарський, буд. 14 кв. 50, Ватутіне, 41411",989 25 42,vandriichuk@example.org
Безбородько,Орест,Амвросійович,Чоловіча,05-09-1954,Бібліограф,хутір Буринь,"сквер Старосінна, буд. 305, Щолкіне, 81488",+380 02 732 36 83,saliisviatoslava@example.org
Ґерета,Прохір,Ігорович,Чоловіча,10-05-1997,Стоматолог,село Попасна,"парк Юннатів 3-й, буд. 8, Сулимівка (Слов'янськ), 22129",019 167 77 68,stetssviatoslav@example.net
Самойленко,Остап,Йосипович,Чоловіча,24-04-1949,Епідеміолог,селище Рахів,"площа Новікова 2-га, буд. 881, Верхівцеве, 83805",+380 50 168 08 23,iosyp73@example.net
Палій,Валерій,Стефанович,Чоловіча,16-05-1978,Підприємець,хутір Жовті Води,"сквер Артилерійський 2-й, буд. 3, Новоукраїнка, 68484",+380 (42) 719-58-22,marusia35@example.com
Ісаєнко,Артем,Романович,Чоловіча,08-07-1982,Хімік,місто Ірпінь,"провулок Павлодарська, буд. 078, Болград, 22598",698-69-43,bdziuba@example.net
Кириленко,Франц,Артемович,Чоловіча,06-10-1954,Гірничий інженер,село Буча,"шосе Васнецова, буд. 360, Сторожинець, 70445",+380 (40) 730-18-39,kchumak@example.com
Стельмах,Спас,Костянтинович,Чоловіча,13-09-1971,Бібліограф,селище Рубіжне,"проспект Чорноморська, буд. 3, Полонне, 68358",+380 98 593 28 14,valentyn92@example.com
Фоменко,Гордій,Антонович,Чоловіча,06-09-1975,Дантист,село Верхньодніпровськ,"проспект Пресича Олександра, буд. 06 кв. 473, Шахтарськ, 19631",680 38 43,okhrim24@example.com
Яремчук,Омелян,Михайлович,Чоловіча,09-12-1996,Фермер,селище Борзна,"шосе Коблевська, буд. 047, Щастя , 33503",+380 42 906-57-42,jizhakevych@example.net
Заїка,Володимир,Єлисейович,Чоловіча,26-09-1977,Лікар,село Бахмач,"узвіз Студентський 1-й, буд. 8 кв. 75, Великі Мости, 38161",+380 97 018-80-31,pelekhaaron@example.org
Гузенко,Руслан,Данилович,Чоловіча,30-09-1946,Епідеміолог,село Новий Буг,"узвіз Леваневського, буд. 332, Соледар, 97433",045 884 39 06,krudko@example.org
Дурдинець,Павло,Прохорович,Чоловіча,28-10-1967,Єгер,село Лебедин,"площа Сабанський, буд. 899 кв. 65, Південне , 36039",719-13-53,fzabila@example.com
Тесля,Семен,Тарасович,Чоловіча,12-04-2007,Золотар,місто Ясинувата,"вулиця 19-й км Старокиївської дороги, буд. 4 кв. 009, Горохів, 34324",+380 23 905 24 32,romanveres@example.net
